"Year","Month","Day","Hour","Minute","DNI"
2000,1,19,8,30,538
2000,1,19,9,30,746
2000,1,19,10,30,855
2000,1,19,11,30,903
2000,1,19,12,30,912
2000,1,19,13,30,890
2000,1,19,14,30,827
2000,1,19,15,30,692
2000,1,19,16,30,354
2000,1,19,17,30,0
2000,1,19,18,30,0
2000,1,19,19,30,0
2000,1,19,20,30,0
2000,1,19,21,30,0
2000,1,19,22,30,0
2000,1,19,23,30,0
2000,1,20,0,30,0
2000,1,20,1,30,0
2000,1,20,2,30,0
2000,1,20,3,30,0
2000,1,20,4,30,0
2000,1,20,5,30,0
2000,1,20,6,30,0
2000,1,20,7,30,0
2000,1,20,8,30,0
2000,1,20,9,30,12
2000,1,20,10,30,173
2000,1,20,11,30,66
2000,1,20,12,30,65
2000,1,20,13,30,60
2000,1,20,14,30,109
2000,1,20,15,30,176
2000,1,20,16,30,18
2000,1,20,17,30,0
2000,1,20,18,30,0
2000,1,20,19,30,0
2000,1,20,20,30,0
2000,1,20,21,30,0
2000,1,20,22,30,0
2000,1,20,23,30,0
2000,1,21,0,30,0
2000,1,21,1,30,0
2000,1,21,2,30,0
2000,1,21,3,30,0
2000,1,21,4,30,0
2000,1,21,5,30,0
2000,1,21,6,30,0
2000,1,21,7,30,169
2000,1,21,8,30,644
2000,1,21,9,30,823
2000,1,21,10,30,905
2000,1,21,11,30,936
2000,1,21,12,30,936
2000,1,21,13,30,911
2000,1,21,14,30,850
2000,1,21,15,30,722
2000,1,21,16,30,404
2000,1,21,17,30,0
2000,1,21,18,30,0
2000,1,21,19,30,0
2000,1,21,20,30,0
2000,1,21,21,30,0
2000,1,21,22,30,0
2000,1,21,23,30,0
2000,1,22,0,30,0
2000,1,22,1,30,0
2000,1,22,2,30,0
2000,1,22,3,30,0
2000,1,22,4,30,0
2000,1,22,5,30,0
2000,1,22,6,30,0
2000,1,22,7,30,185
2000,1,22,8,30,641
2000,1,22,9,30,810
2000,1,22,10,30,891
2000,1,22,11,30,930
2000,1,22,12,30,937
2000,1,22,13,30,913
2000,1,22,14,30,856
2000,1,22,15,30,722
2000,1,22,16,30,374
2000,1,22,17,30,0
2000,1,22,18,30,0
2000,1,22,19,30,0
2000,1,22,20,30,0
2000,1,22,21,30,0
2000,1,22,22,30,0
2000,1,22,23,30,0
2000,1,23,0,30,0
2000,1,23,1,30,0
2000,1,23,2,30,0
2000,1,23,3,30,0
2000,1,23,4,30,0
2000,1,23,5,30,0
2000,1,23,6,30,0
2000,1,23,7,30,88
2000,1,23,8,30,72
2000,1,23,9,30,347
2000,1,23,10,30,196
2000,1,23,11,30,340
2000,1,23,12,30,481
2000,1,23,13,30,142
2000,1,23,14,30,161
2000,1,23,15,30,79
2000,1,23,16,30,0
2000,1,23,17,30,0
2000,1,23,18,30,0
2000,1,23,19,30,0
2000,1,23,20,30,0
2000,1,23,21,30,0
2000,1,23,22,30,0
2000,1,23,23,30,0
2000,1,24,0,30,0
2000,1,24,1,30,0
2000,1,24,2,30,0
2000,1,24,3,30,0
2000,1,24,4,30,0
2000,1,24,5,30,0
2000,1,24,6,30,0
2000,1,24,7,30,0
2000,1,24,8,30,0
2000,1,24,9,30,299
2000,1,24,10,30,112
2000,1,24,11,30,347
2000,1,24,12,30,804
2000,1,24,13,30,0
2000,1,24,14,30,685
2000,1,24,15,30,529
2000,1,24,16,30,187
2000,1,24,17,30,0
2000,1,24,18,30,0
2000,1,24,19,30,0
2000,1,24,20,30,0
2000,1,24,21,30,0
2000,1,24,22,30,0
2000,1,24,23,30,0
2000,1,25,0,30,0
2000,1,25,1,30,0
2000,1,25,2,30,0
2000,1,25,3,30,0
2000,1,25,4,30,0
2000,1,25,5,30,0
2000,1,25,6,30,0
2000,1,25,7,30,0
2000,1,25,8,30,0
2000,1,25,9,30,5
2000,1,25,10,30,14
2000,1,25,11,30,8
2000,1,25,12,30,0
2000,1,25,13,30,0
2000,1,25,14,30,0
2000,1,25,15,30,9
2000,1,25,16,30,0
2000,1,25,17,30,0
2000,1,25,18,30,0
2000,1,25,19,30,0
2000,1,25,20,30,0
2000,1,25,21,30,0
2000,1,25,22,30,0
2000,1,25,23,30,0
2000,1,26,0,30,0
2000,1,26,1,30,0
2000,1,26,2,30,0
2000,1,26,3,30,0
2000,1,26,4,30,0
2000,1,26,5,30,0
2000,1,26,6,30,0
2000,1,26,7,30,0
2000,1,26,8,30,538
2000,1,26,9,30,607
2000,1,26,10,30,514
2000,1,26,11,30,836
2000,1,26,12,30,832
2000,1,26,13,30,792
2000,1,26,14,30,713
2000,1,26,15,30,574
2000,1,26,16,30,275
2000,1,26,17,30,0
2000,1,26,18,30,0
2000,1,26,19,30,0
2000,1,26,20,30,0
2000,1,26,21,30,0
2000,1,26,22,30,0
2000,1,26,23,30,0
2000,1,27,0,30,0
2000,1,27,1,30,0
2000,1,27,2,30,0
2000,1,27,3,30,0
2000,1,27,4,30,0
2000,1,27,5,30,0
2000,1,27,6,30,0
2000,1,27,7,30,206
2000,1,27,8,30,626
2000,1,27,9,30,791
2000,1,27,10,30,872
2000,1,27,11,30,906
2000,1,27,12,30,910
2000,1,27,13,30,889
2000,1,27,14,30,829
2000,1,27,15,30,704
2000,1,27,16,30,403
2000,1,27,17,30,0
2000,1,27,18,30,0
2000,1,27,19,30,0
2000,1,27,20,30,0
2000,1,27,21,30,0
2000,1,27,22,30,0
2000,1,27,23,30,0
2000,1,28,0,30,0
2000,1,28,1,30,0
2000,1,28,2,30,0
2000,1,28,3,30,0
2000,1,28,4,30,0
2000,1,28,5,30,0
2000,1,28,6,30,0
2000,1,28,7,30,260
2000,1,28,8,30,660
2000,1,28,9,30,812
2000,1,28,10,30,884
2000,1,28,11,30,915
2000,1,28,12,30,916
2000,1,28,13,30,895
2000,1,28,14,30,843
2000,1,28,15,30,734
2000,1,28,16,30,466
2000,1,28,17,30,0
2000,1,28,18,30,0
2000,1,28,19,30,0
2000,1,28,20,30,0
2000,1,28,21,30,0
2000,1,28,22,30,0
2000,1,28,23,30,0
2000,1,29,0,30,0
2000,1,29,1,30,0
2000,1,29,2,30,0
2000,1,29,3,30,0
2000,1,29,4,30,0
2000,1,29,5,30,0
2000,1,29,6,30,0
2000,1,29,7,30,369
2000,1,29,8,30,755
2000,1,29,9,30,893
2000,1,29,10,30,956
2000,1,29,11,30,981
2000,1,29,12,30,982
2000,1,29,13,30,960
2000,1,29,14,30,906
2000,1,29,15,30,797
2000,1,29,16,30,532
2000,1,29,17,30,0
2000,1,29,18,30,0
2000,1,29,19,30,0
2000,1,29,20,30,0
2000,1,29,21,30,0
2000,1,29,22,30,0
2000,1,29,23,30,0
2000,1,30,0,30,0
2000,1,30,1,30,0
2000,1,30,2,30,0
2000,1,30,3,30,0
2000,1,30,4,30,0
2000,1,30,5,30,0
2000,1,30,6,30,0
2000,1,30,7,30,303
2000,1,30,8,30,427
2000,1,30,9,30,163
2000,1,30,10,30,365
2000,1,30,11,30,299
2000,1,30,12,30,590
2000,1,30,13,30,187
2000,1,30,14,30,183
2000,1,30,15,30,204
2000,1,30,16,30,0
2000,1,30,17,30,0
2000,1,30,18,30,0
2000,1,30,19,30,0
2000,1,30,20,30,0
2000,1,30,21,30,0
